e177_target_rank,perturbation,n_exact_cells,1,2,3,4,5,6,7,8,in_expression_var,in_scgpt_vocab,is_single_gene_label,min_exact_cells_per_technical_group,n_technical_groups_with_cells,eligible_e177_target,e177_selection_sha256,cell_count_quartile,e177_split_sha256,target_split,selection_used_expression_matrix_or_truth_error,technical_group_label_is_biological_context
101,DPP4,158,21,24,17,13,16,27,24,16,True,True,True,13,8,True,dc308c05a2c8ad07992fe7fd8008e8e7ccfc20d0b75e4ad1ac69b6aaf79784eb,Q4_high,42c6eb62b35ef278f9642569d3a6620ec37274ad15d953f12492e745af2a46e3,train,False,False
102,EMC2,75,11,9,8,11,9,8,9,10,True,True,True,8,8,True,89b2de3984b2f8debc90beae53cba8f9d49fbd6dd0e31896a6eede42771aae61,Q1_low,3a4ed774c976623ed735e896f0dcd32c59b94fc67fae5b70fab5b60ea0d25eae,train,False,False
103,ERN1,156,22,19,16,24,13,23,20,19,True,True,True,13,8,True,197ef4fd24f58752c0ef4bf13a162f6c9756fc0e6a43bcfdeb0d3826718a3cb3,Q4_high,2561d3cda94386fa1eb9e5514db020408f379121032fc8bef11ebce88101c201,train,False,False
104,FYCO1,452,47,61,55,70,54,63,50,52,True,True,True,47,8,True,1ccb57ab3a1850f680137ff0f37ca968b0def169623ddbc8e731d68aa7e0c79d,Q4_high,3d1c5b0aef694041d089b1d130a365f094c91fa4d4a9b4201aacda11f1646a69,train,False,False
105,G3BP1,90,10,13,15,15,11,12,9,5,True,True,True,5,8,True,f2302e7a2c6240b8dcc1bee0349967745574cb6114b23c682e5e4befa079ab73,Q2,00dab8cdd1ac9d460a39a0eb10d8385982fc8f5c041a135411e4db1af8c9dc7f,train,False,False
106,G3BP2,130,17,13,17,9,24,19,16,15,True,True,True,9,8,True,a5bbfe743a95890d4a1258acbc132bb416a32300aa622100338de1c1b4ac6893,Q3,4b3f292ffd6e324814326f35c506852d78cd74d1581fa61ddbd931d0e016a89d,train,False,False
107,GOLGA7,52,5,8,7,9,8,4,6,5,True,True,True,4,8,True,c3fd5571150c07213a44c5ff9199093a610bbca74c9c54584b9e80e6fb38f42d,Q1_low,0c9ccec494b634db8737c5385fbe23a96f3c9051d414fa204c73db7a16c658cb,train,False,False
108,GPR89B,147,22,15,17,15,14,20,20,24,True,True,True,14,8,True,052556b0de7b9856f180c94f63aa6f06418f61c48504119dd8ea226cef18e0a4,Q3,1ae4741680ae2c704fa4d5ea45325b1362eeb49e23169c38d619fdc92e8abece,train,False,False
109,IFIH1,100,17,12,16,8,14,12,10,11,True,True,True,8,8,True,19e27eda91660580b09d06755cfebb7c966c9cefc8d552ee8e618d4d0912d9b9,Q2,190b9a4777dfe740f4be04b9fcf6fb044e469b2d634c7cc1d4f2fb474809105b,train,False,False
110,IRF9,122,16,18,13,19,7,20,13,16,True,True,True,7,8,True,55363fe50e4c0b0e0a36411f0f1c258d029c7abf1adb6119592885f4feb86e9f,Q3,24cde58bf3405a80305a27adcf53043d461699345e412d7e0742eecb1ed0adf2,train,False,False
111,LARP1,125,12,18,22,15,14,12,10,22,True,True,True,10,8,True,2b4ccba7f6a278ca64892e2ad1c69956cbab6bef6ae4b421c949d1dbdd982e5b,Q3,1fd753256bf03bb637077a1028d366251f2b0a5a58c87ee614ad550174f02c26,train,False,False
112,LY6E,120,19,10,12,16,14,22,17,10,True,True,True,10,8,True,7a6ef752286d32c40c8c771098ac9e1cc47ae6f113c4fbc71fb4287fe75a4ce5,Q3,0625c22472eb3fcc812733ac1ab7f6c84f0739c5995a569fc3bfdc280c05942b,train,False,False
113,M6PR,132,19,14,14,14,12,15,19,25,True,True,True,12,8,True,1e3164be040799b5600feb255ad400ed260d79aa423416d672ec30366f08179d,Q3,192216258cce5f0c26ea8e9929e577aec9a7e264da625d01825012da55c97da5,train,False,False
114,MAPK8,159,18,27,14,24,17,20,20,19,True,True,True,14,8,True,165bdd1adfda5fabe839c3dbe49ff2e3d1c3ef4e3f094adf41313563601c50b1,Q4_high,2e8f15c943d39ad729dbd1ecb6b1528658a403be563f2e6f102939cdcff2d96c,train,False,False
115,MARK2,53,4,3,11,6,10,6,8,5,True,True,True,3,8,True,a2e31e7b519d34791b737b57a277adc368508c08f299f56da33f8dbd58c36444,Q1_low,3823d594d3fe2fb8ac496fa89952e8d58df6fcd16a9d71846b2501873f6cb1b8,train,False,False
116,MBTPS2,581,90,69,70,58,84,71,60,79,True,True,True,58,8,True,d89c30e0011e3511c4f020ed3fc7fc96c630d86794b0c8b8b75e06f37efcc346,Q4_high,35e8034c76217adfddc16aaaef06d41971b2acee0841c8771daac544e55a72b3,train,False,False
117,MEPCE,99,8,12,10,12,13,13,13,18,True,True,True,8,8,True,634282024f63d197bcade17dbe76d0ed2507dab4dbe3be770a2e3b0a6e9223c2,Q2,2112115222f095c22416c042b0b37c137f30d6819c8854bd02a989cdd007c27d,train,False,False
118,MIB1,78,9,15,11,16,4,6,9,8,True,True,True,4,8,True,4306a7a97e8da558e67c38081d97a2df96be46fd86fbfa3b32161b23a75b6d65,Q1_low,1103c1c2312f78f392c93b1adcb0f7d5b90e4ea3327905d713368da4888d2d02,train,False,False
119,MPP5,102,12,12,10,13,10,14,15,16,True,True,True,10,8,True,e08f033df9fb1393d58f2ba97af61728206585cd27b2c09dd2b17d20bc00d2a4,Q2,1eb3de94cf11ce87add3077b6597f6a9bed5dd3bdda3fc2bcb56562526851f64,train,False,False
120,RELB,187,22,22,28,25,30,20,21,19,True,True,True,19,8,True,26a828eb2369c85707838666240355f8b9e4112a66883f6d84968b688d145c72,Q4_high,0266205a95e26a06c78bbba118cdb3b0c22ce25c6736ab387b2d7d0a23b1c4a7,train,False,False
121,RNF41,100,15,15,12,12,11,13,8,14,True,True,True,8,8,True,4d2fed2bfce1ef0bc8b4ed73c138c4638e49e4038f11a543e90bf723a899e2c9,Q2,2986b9ed5df68a3d7bb3300e9f9fdf80dadfbc06ea912c43a26f6ba0a7bfebd6,train,False,False
122,SEC62,84,13,12,7,12,9,10,8,13,True,True,True,7,8,True,163c629b50dff88281cc98d42a795f4d5d1544da81fec4cc3927976d6392ccb8,Q1_low,22e017efb757ef99f2158df80be7135fd8708cb158261436bba099dc60ac5e7c,train,False,False
123,SMAD3,107,20,7,12,16,15,11,10,16,True,True,True,7,8,True,b0e157b99b33eaa3ecd5b8b99c2bb877493edd88a229149b20e09fa924348d3d,Q2,2f0e020b01866d529e3ee7ec9f215d13b29a4ce5ea8906ca75aa7a41ec65975b,train,False,False
124,SMOC1,121,15,16,16,12,14,17,16,15,True,True,True,12,8,True,925286226b2dfc5557eed4567e7ad43df527da2f748ec8534989c90407285cf3,Q3,3f07cc9aed2313a6d121aa493839f36dcb5a0b710fa509231f6bebba7e26c98b,train,False,False
125,TBK1,59,10,9,13,7,4,5,6,5,True,True,True,4,8,True,c7a62ae06170935218e2db0c1d16952ade97b1cc4ec2d93ddaa68a63389f212b,Q1_low,26811847dec987a6137d0f03b76047ce02c2e3ad22e17e773b471b8a02d5d004,train,False,False
126,TICAM1,126,19,13,6,16,17,23,11,21,True,True,True,6,8,True,2fb2823a2619e187722e55a32e144dd5a0ac656c0bea0464c03250d607d100b5,Q3,493825267f56e32ff3cec37ae16ce12f6d2178af9a9e4442208d665f5c781c00,train,False,False
127,TLE1,83,12,13,4,14,6,15,10,9,True,True,True,4,8,True,60877d3ba0fad1c7197beb9841922c0ee23b563d4cd29b6ef143a86a5ed60b3a,Q1_low,32a1ec627b9cabc10087c1eb5691c66014397c98083c5395cf9bf61eb3ccd8f8,train,False,False
128,TMEM106B,639,88,100,76,91,79,69,69,67,True,True,True,67,8,True,2bd7c86cdd9a17d3f578d2d099b00c4fbca31742e504a52758eb4982e8ada373,Q4_high,3e2a3e36556cbdf11f5d67ee5a5309a1d6faba62b5989612cba5ca01eb345a2d,train,False,False
129,TMPRSS2,184,18,23,20,18,23,19,33,30,True,True,True,18,8,True,22f98f93c5c4550476d39333cf9b0f88d9b328f250fcea47b01299b09b154cc8,Q4_high,0b2c52bea589affb81632842c0b53d53bbd95a549fded79ad6b788a13f6a7dd0,train,False,False
130,TOLLIP,87,12,10,6,12,8,13,17,9,True,True,True,6,8,True,da886cd4351897c995a5b67b0dc18d3e511f5ed483ffd3b17c332ad9425d188f,Q1_low,05ed66a4e786a0d5020123767ba447f2f1c3ca3d0f5f15c261111a756bfb04a8,train,False,False
131,TRIM59,94,21,14,6,10,11,11,10,11,True,True,True,6,8,True,ca102afc451ad147ad2b013f76dce60b1d104515f02f150034612a9b23a1c360,Q2,0f5cbd890b4952fd0b22c276671ad7849babdc02b1ac74c7d9149d6e058296c0,train,False,False
132,TTC37,114,9,17,17,19,14,17,11,10,True,True,True,9,8,True,648a17e41528e8b5a0dbe0d8e5e1b76e1c67cdccd22c15a8169523f7a4926a0a,Q2,1ff43d3719b0197e1ab9f7e427815c83e52c9c6fe61b97801bf18e7cb915c855,train,False,False
133,VMP1,115,12,13,13,14,18,15,12,18,True,True,True,12,8,True,b997922b63091f5327c8b3b6cfc84c9e383e59cefa66986df96bee7ed57d56d3,Q2,0e2b870c825b0f935101e182bd88990dbb3590f08e7a1d1083806b6a44666c56,train,False,False
134,ZDHHC5,159,8,31,15,25,28,14,18,20,True,True,True,8,8,True,00bccfa40b1648d388af29f18cee9ee40d5b4c1ec24450a6d4668e7973e50f80,Q4_high,403d67ade0bed7f3b6211d4282dd3d727f87f3dd71817856bb6d455d6bc7d2f7,train,False,False
135,ATP1A1,76,10,7,7,9,12,8,12,11,True,True,True,7,8,True,29878a5f475055d77f4920b113136b393a838465d57e67137c3a7c8ea978c1e3,Q1_low,42db1af8969031f2534c89416da1cf455d285bda64cc0507560ae29ef7febc2a,validation,False,False
136,B3GALT6,148,22,23,15,19,19,20,14,16,True,True,True,14,8,True,a79448a8be3ea5a14e92ea5a915affa3ae662bdf1047fe4fb19fa63db1b66020,Q3,5476b890663835b5a654a57630011a4463b435903d7c034b9605987832c59952,validation,False,False
137,BRD2,228,32,34,26,32,25,24,23,32,True,True,True,23,8,True,b238cd61c4c7b9b8afb82d50726bf61ddee28f183b30fd7d114590606ecfca66,Q4_high,52920ad9651f5095c3bedef5d8a7ec5cf64f4430116934a0af684d04177d8e46,validation,False,False
138,CDK6,122,12,16,20,20,10,13,14,17,True,True,True,10,8,True,3b120156b1761cb0fdbfd5168597b27538913088f1acf1594b2449845c2fa3d5,Q3,546643d28df96d103f73abbb071c5ebb907e36f612755edc93271916eb588805,validation,False,False
139,CKM,171,22,25,23,25,14,23,20,19,True,True,True,14,8,True,97cfe0c9709bff279ef87b42c890d9a672e4cf423e0bd460875c9734c2214259,Q4_high,490ecf07c62760f86817907bd4c9cfba39bae9f231560aefb2ced2a0afd546b7,validation,False,False
140,EIF4E2,110,13,20,14,13,14,13,10,13,True,True,True,10,8,True,e56b7d5804f07abef334617c1098e1ecb5a4ce4b53d41b8ee73fa2d47ef0120f,Q2,3f5cf1081069f08d517f96f844f33c1cfcf0b55f7919f6c7c3e55964afa00ef1,validation,False,False
141,GPR89A,107,21,15,11,14,6,11,16,13,True,True,True,6,8,True,b583992ff48d7cbe665b4a7f384cc5ddf5c32f3044f285af28c4e6eaada74613,Q2,4b1a006cd37f1e34b1426a350c4ce85476143dff16a88ad0034193fe868f7e9a,validation,False,False
142,RAB7A,46,3,4,3,11,5,5,5,10,True,True,True,3,8,True,c310c85c96f23ad6f1435bf9f5245d1ec692267a73a01bd743bcf153f40ab06e,Q1_low,51b40c5794388a0b47e31ca0b372c8945491b582b2d72f5815ae00d83ca6e289,validation,False,False
143,SCAP,128,15,15,10,21,16,17,22,12,True,True,True,10,8,True,d27c9d6c0d0381ea1674957fa2de3370b97472bd3dc6b1c76c4411253e7746ef,Q3,5111295ef5987f2bbb93f45850f5814689d5c5b184725694893b91053c399f64,validation,False,False
144,WDR61,57,7,14,4,5,5,7,9,6,True,True,True,4,8,True,b54d35a76974bf1f6d5e141444938c9782a0937fae8e5648fc5bd7b235187106,Q1_low,570047a8baabd0c79b5a9889ce2e13666aa35772f1eba6f9d56bdbff4028cb25,validation,False,False
